
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2017-10-25 01:56:04.831 DEBUG 9440 --- [           main] o.s.w.c.s.StandardServletEnvironment     : Adding PropertySource 'applicationConfig: [classpath:/application.yml]' with search precedence immediately lower than 'applicationConfigurationProperties'
2017-10-25 01:56:04.832 DEBUG 9440 --- [           main] o.s.w.c.s.StandardServletEnvironment     : Removing PropertySource 'applicationConfigurationProperties'
2017-10-25 01:56:04.832 DEBUG 9440 --- [           main] o.s.w.c.s.StandardServletEnvironment     : Removing PropertySource 'defaultProperties'
2017-10-25 01:56:05.392  INFO 9440 --- [           main] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 8080 (http)
2017-10-25 01:56:05.403  INFO 9440 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2017-10-25 01:56:05.404  INFO 9440 --- [           main] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/8.5.23
2017-10-25 01:56:05.517  INFO 9440 --- [ost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2017-10-25 01:56:05.517 DEBUG 9440 --- [ost-startStop-1] o.s.web.context.ContextLoader            : Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
2017-10-25 01:56:05.517  INFO 9440 --- [ost-startStop-1] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1709 ms
2017-10-25 01:56:05.723  INFO 9440 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'characterEncodingFilter' to: [/*]
2017-10-25 01:56:05.724  INFO 9440 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-10-25 01:56:05.724  INFO 9440 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-10-25 01:56:05.724  INFO 9440 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'OAuth2ClientContextFilter' to: [/*]
2017-10-25 01:56:05.725  INFO 9440 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'requestContextFilter' to: [/*]
2017-10-25 01:56:05.726  INFO 9440 --- [ost-startStop-1] .s.DelegatingFilterProxyRegistrationBean : Mapping filter: 'springSecurityFilterChain' to: [/*]
2017-10-25 01:56:05.726  INFO 9440 --- [ost-startStop-1] o.s.b.w.servlet.ServletRegistrationBean  : Mapping servlet: 'dispatcherServlet' to [/]
2017-10-25 01:56:05.761 DEBUG 9440 --- [           main] o.s.w.c.s.StandardServletEnvironment     : Replacing PropertySource 'servletContextInitParams' with 'servletContextInitParams'
2017-10-25 01:56:06.299  INFO 9440 --- [           main] s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@64a294a6: startup date [Wed Oct 25 01:56:03 EDT 2017]; root of context hierarchy
2017-10-25 01:56:06.373 DEBUG 9440 --- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping : Looking for request mappings in application context: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@64a294a6: startup date [Wed Oct 25 01:56:03 EDT 2017]; root of context hierarchy
2017-10-25 01:56:06.385 DEBUG 9440 --- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping : 1 request handler methods found on class com.gaurav.resource.ResourceApplication: {public java.lang.String com.gaurav.resource.ResourceApplication.home(java.security.Principal)={[/]}}
2017-10-25 01:56:06.385  INFO 9440 --- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/]}" onto public java.lang.String com.gaurav.resource.ResourceApplication.home(java.security.Principal)
2017-10-25 01:56:06.389 DEBUG 9440 --- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping : 2 request handler methods found on class org.springframework.boot.autoconfigure.web.BasicErrorController: {public org.springframework.http.ResponseEntity org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)={[/error]}, public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)={[/error],produces=[text/html]}}
2017-10-25 01:56:06.390  INFO 9440 --- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-10-25 01:56:06.390  INFO 9440 --- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Looking for URL mappings in application context: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@64a294a6: startup date [Wed Oct 25 01:56:03 EDT 2017]; root of context hierarchy
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.context.annotation.internalRequiredAnnotationProcessor': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.context.annotation.internalCommonAnnotationProcessor': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.context.event.internalEventListenerProcessor': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.context.event.internalEventListenerFactory': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'resourceApplication': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.security.oauth2.config.annotation.web.configuration.OAuth2ClientConfiguration$OAuth2ClientContextConfiguration': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'scopedTarget.oauth2ClientContext': no URL paths identified
2017-10-25 01:56:06.408 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'oauth2ClientContext': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.security.oauth2.config.annotation.web.configuration.OAuth2ClientConfiguration': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'oauth2ClientContextFilter': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'scopedTarget.accessTokenRequest': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'accessTokenRequest': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.client.OAuth2SsoDefaultConfiguration': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.resource.ResourceServerTokenServicesConfiguration$RemoteTokenServicesConfiguration$UserInfoTokenServicesConfiguration': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'userInfoTokenServices': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.resource.ResourceServerTokenServicesConfiguration$RemoteTokenServicesConfiguration': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.resource.ResourceServerTokenServicesConfiguration': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'userInfoRestTemplateFactory': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.AutoConfigurationPackages': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'security.oauth2.sso-org.springframework.boot.autoconfigure.security.oauth2.client.OAuth2SsoProperties': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.store': no URL paths identified
2017-10-25 01:56:06.410 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'propertySourcesPlaceholderConfigurer': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'standardJacksonObjectMapperBuilderCustomizer': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'jacksonObjectMapperBuilder': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'jacksonObjectMapper': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'jsonComponentModule': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.websocket.WebSocketAutoConfiguration$TomcatWebSocketConfiguration': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'websocketContainerCustomizer': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.websocket.WebSocketAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfiguration$EmbeddedTomcat': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'tomcatEmbeddedServletContainerFactory': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'embeddedServletContainerCustomizerBeanPostProcessor': no URL paths identified
2017-10-25 01:56:06.411 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'errorPageRegistrarBeanPostProcessor': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.DispatcherServletAutoConfiguration$DispatcherServletConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'dispatcherServlet': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'spring.mvc-org.springframework.boot.autoconfigure.web.WebMvcProperties': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.DispatcherServletAutoConfiguration$DispatcherServletRegistrationConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'dispatcherServletRegistration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.DispatcherServletAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'defaultValidator': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'methodValidationPostProcessor': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.client.OAuth2ProtectedResourceDetailsConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'oauth2RemoteResource': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.client.OAuth2RestOperationsConfiguration$SessionScopedConfiguration$ClientContextConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.client.OAuth2RestOperationsConfiguration$SessionScopedConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'oauth2ClientFilterRegistration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.client.OAuth2RestOperationsConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.oauth2.OAuth2AutoConfiguration': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'resourceServerProperties': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'security.oauth2.client-org.springframework.boot.autoconfigure.security.oauth2.OAuth2ClientProperties': no URL paths identified
2017-10-25 01:56:06.412 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'error': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'beanNameViewResolver': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'conventionErrorViewResolver': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'errorAttributes': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'basicErrorController': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'errorPageCustomizer': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'preserveErrorControllerTargetClassPostProcessor': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$EnableWebMvcConfiguration': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'requestMappingHandlerAdapter': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'requestMappingHandlerMapping': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcValidator': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcContentNegotiationManager': no URL paths identified
2017-10-25 01:56:06.413 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcPathMatcher': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcUrlPathHelper': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'viewControllerHandlerMapping': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'beanNameHandlerMapping': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'resourceHandlerMapping': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcResourceUrlProvider': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'defaultServletHandlerMapping': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcConversionService': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcUriComponentsContributor': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'httpRequestHandlerAdapter': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'simpleControllerHandlerAdapter': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'handlerExceptionResolver': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcViewResolver': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mvcHandlerMappingIntrospector': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$FaviconConfiguration': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'faviconHandlerMapping': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'faviconRequestHandler': no URL paths identified
